# Thorlabs protected aluminum coating (-G01), 12 deg AOI, unpolarized
# Source: thorlabs_protected_aluminum_coating.xlsx
wavelength_nm,reflectance
9815,0.95793
9826,0.95794
9836,0.95795
9845,0.95795
9856,0.95796
9865,0.95797
9876,0.95798
9886,0.95799
9895,0.95799
9906,0.95800
9915,0.95801
9926,0.95802
9936,0.95802
9945,0.95803
9956,0.95804
9965,0.95805
9976,0.95805
9985,0.95806
9996,0.95806
10006,0.95807
10015,0.95808
10026,0.95808
10035,0.95809
10046,0.95809
10055,0.95810
10066,0.95810
10075,0.95811
10086,0.95811
10095,0.95812
10106,0.95812
10115,0.95813
10126,0.95813
10135,0.95813
10145,0.95814
10155,0.95814
10165,0.95814
10175,0.95815
10185,0.95815
10195,0.95815
10206,0.95816
10215,0.95816
10226,0.95816
10235,0.95816
10246,0.95816
10255,0.95816
10266,0.95817
10275,0.95817
10286,0.95817
10295,0.95817
10306,0.95817
10315,0.95817
10325,0.95817
10336,0.95817
10345,0.95817
10356,0.95817
10365,0.95817
10375,0.95817
10385,0.95817
10395,0.95817
10406,0.95817
10415,0.95816
10426,0.95816
10435,0.95816
10445,0.95816
10456,0.95815
10465,0.95815
10475,0.95815
10485,0.95815
10495,0.95814
10506,0.95814
10515,0.95814
10525,0.95813
10536,0.95813
10545,0.95812
10555,0.95812
10566,0.95811
10575,0.95811
10585,0.95810
10595,0.95810
10605,0.95809
10615,0.95809
10626,0.95808
10635,0.95807
10645,0.95807
10655,0.95806
10665,0.95805
10675,0.95805
10685,0.95804
10695,0.95803
10705,0.95802
10715,0.95802
10725,0.95801
10735,0.95800
10745,0.95799
10755,0.95798
10765,0.95797
10775,0.95796
10785,0.95795
10795,0.95794
10805,0.95793
10815,0.95792
10825,0.95791
10835,0.95790
10845,0.95789
10855,0.95788
10865,0.95787
10875,0.95785
10885,0.95784
10895,0.95783
10905,0.95782
10915,0.95780
10925,0.95779
10935,0.95778
10945,0.95776
10955,0.95775
10965,0.95774
10975,0.95772
10985,0.95771
10995,0.95769
11005,0.95768
11015,0.95766
11025,0.95765
11035,0.95763
11045,0.95762
11055,0.95760
11065,0.95758
11075,0.95757
11085,0.95755
11095,0.95753
11105,0.95752
11115,0.95750
11125,0.95748
11135,0.95746
11145,0.95744
11155,0.95743
11165,0.95741
11175,0.95739
11185,0.95737
11195,0.95735
11205,0.95733
11215,0.95731
11225,0.95729
11235,0.95727
11245,0.95725
11255,0.95723
11265,0.95721
11275,0.95719
11285,0.95716
11295,0.95714
11305,0.95712
11315,0.95710
11325,0.95707
11335,0.95705
11345,0.95703
11355,0.95701
11365,0.95698
11375,0.95696
11385,0.95693
11395,0.95691
11405,0.95689
11415,0.95686
11425,0.95684
11435,0.95681
11445,0.95679
11455,0.95676
11465,0.95673
11475,0.95671
11485,0.95668
11495,0.95666
11505,0.95663
11515,0.95660
11525,0.95657
11535,0.95655
11544,0.95652
11554,0.95649
11565,0.95646
11575,0.95643
11585,0.95641
11595,0.95638
11605,0.95635
11615,0.95632
11625,0.95629
11634,0.95626
11644,0.95623
11655,0.95620
11665,0.95617
11675,0.95614
11685,0.95611
11694,0.95608
11704,0.95605
11715,0.95601
11725,0.95598
11735,0.95595
11745,0.95592
11754,0.95589
11764,0.95585
11775,0.95582
11785,0.95579
11794,0.95575
11804,0.95572
11815,0.95568
11825,0.95565
11835,0.95562
11844,0.95558
11854,0.95555
11865,0.95551
11875,0.95548
11884,0.95544
11894,0.95541
11905,0.95537
11914,0.95534
11924,0.95530
11935,0.95526
11945,0.95523
11954,0.95519
11964,0.95516
11975,0.95512
11984,0.95508
11994,0.95504
12005,0.95501
12014,0.95497
12024,0.95493
12035,0.95489
12044,0.95485
12054,0.95482
12065,0.95478
12074,0.95474
12084,0.95470
12095,0.95466
12104,0.95462
12115,0.95458
12124,0.95454
12134,0.95450
12145,0.95446
12154,0.95442
12165,0.95438
12174,0.95434
12184,0.95430
12194,0.95425
12204,0.95421
12215,0.95417
12224,0.95413
12235,0.95409
12244,0.95405
12254,0.95401
12264,0.95396
12274,0.95392
12284,0.95388
12294,0.95384
12304,0.95379
12314,0.95375
12324,0.95370
12334,0.95366
12344,0.95362
12354,0.95357
12364,0.95353
12374,0.95349
12384,0.95344
12394,0.95340
12404,0.95335
12414,0.95331
12424,0.95326
12435,0.95322
12444,0.95317
12454,0.95313
12464,0.95308
12474,0.95304
12484,0.95299
12494,0.95295
12504,0.95290
12514,0.95285
12524,0.95281
12534,0.95276
12544,0.95271
12554,0.95267
12564,0.95262
12574,0.95257
12584,0.95253
12594,0.95248
12604,0.95243
12614,0.95239
12624,0.95234
12634,0.95229
12644,0.95224
12654,0.95220
12664,0.95215
12674,0.95210
12684,0.95205
12694,0.95200
12704,0.95195
12714,0.95191
12724,0.95186
12734,0.95181
12744,0.95176
12754,0.95171
12764,0.95166
12774,0.95161
12784,0.95156
12794,0.95152
12804,0.95147
12814,0.95142
12824,0.95137
12834,0.95132
12844,0.95127
12854,0.95122
12864,0.95117
12874,0.95112
12884,0.95107
12894,0.95102
12904,0.95097
12914,0.95092
12924,0.95087
12934,0.95082
12944,0.95077
12954,0.95072
12964,0.95067
12974,0.95062
12984,0.95057
12994,0.95052
13004,0.95047
13014,0.95042
13024,0.95037
13034,0.95032
13044,0.95026
13054,0.95022
13064,0.95017
13074,0.95012
13084,0.95006
13094,0.95001
13104,0.94996
13114,0.94991
13124,0.94986
13134,0.94981
13144,0.94976
13154,0.94971
13164,0.94966
13174,0.94961
13184,0.94955
13194,0.94950
13204,0.94945
13214,0.94940
13224,0.94935
13234,0.94930
13244,0.94925
13253,0.94920
13263,0.94915
13274,0.94909
13284,0.94904
13294,0.94899
13304,0.94894
13314,0.94889
13324,0.94884
13334,0.94879
13344,0.94874
13353,0.94869
13364,0.94864
13374,0.94859
13384,0.94854
13394,0.94849
13404,0.94844
13413,0.94839
13423,0.94834
13434,0.94828
13444,0.94823
13454,0.94818
13463,0.94813
13473,0.94808
13484,0.94803
13494,0.94798
13504,0.94793
13513,0.94788
13524,0.94783
13534,0.94778
13543,0.94773
13553,0.94768
13564,0.94763
13574,0.94758
13583,0.94753
13594,0.94748
13604,0.94743
13613,0.94738
13624,0.94733
13634,0.94729
13643,0.94724
13653,0.94719
13664,0.94714
13673,0.94709
13684,0.94704
13694,0.94699
13703,0.94695
13714,0.94690
13723,0.94685
13733,0.94680
13744,0.94675
13753,0.94670
13764,0.94666
13773,0.94661
13784,0.94656
13793,0.94651
13803,0.94647
13813,0.94642
13823,0.94637
13834,0.94632
13843,0.94628
13854,0.94623
13863,0.94619
13874,0.94614
13883,0.94609
13893,0.94605
13903,0.94600
13913,0.94595
13923,0.94591
13933,0.94586
13944,0.94582
13953,0.94577
13964,0.94573
13973,0.94569
13983,0.94564
13993,0.94560
14003,0.94555
14014,0.94551
14023,0.94546
14033,0.94542
14044,0.94537
14053,0.94533
14063,0.94529
14074,0.94525
14083,0.94520
14093,0.94516
14104,0.94512
14113,0.94508
14123,0.94504
14133,0.94499
14143,0.94495
14153,0.94491
14163,0.94487
14174,0.94483
14183,0.94479
14193,0.94475
14203,0.94471
14213,0.94467
14223,0.94463
14233,0.94459
14243,0.94455
14253,0.94451
14263,0.94447
14273,0.94443
14283,0.94439
14293,0.94436
14303,0.94432
14313,0.94428
14323,0.94424
14333,0.94421
14343,0.94417
14353,0.94413
14363,0.94410
14373,0.94406
14383,0.94402
14393,0.94399
14403,0.94395
14413,0.94392
14423,0.94388
14433,0.94385
14443,0.94382
14453,0.94378
14463,0.94375
14473,0.94371
14483,0.94368
14493,0.94365
14503,0.94362
14513,0.94358
14523,0.94355
14533,0.94352
14543,0.94349
14553,0.94346
14563,0.94343
14573,0.94340
14583,0.94337
14593,0.94334
14603,0.94331
14613,0.94328
14623,0.94325
14633,0.94322
14643,0.94319
14653,0.94317
14663,0.94314
14673,0.94311
14683,0.94309
14693,0.94306
14703,0.94303
14713,0.94301
14723,0.94298
14733,0.94296
14743,0.94293
14753,0.94291
14763,0.94288
14773,0.94286
14783,0.94284
14793,0.94281
